name	average	std	subject_1	subject_2	subject_3	subject_4	subject_5	subject_6	subject_7	subject_8	subject_9	subject_10	subject_11	subject_12	subject_13	subject_14	subject_15	subject_16	subject_17	subject_18	subject_19	subject_20	subject_21	subject_22	subject_23	subject_24	subject_25	subject_26	subject_27	subject_28	subject_29	subject_30	subject_31	subject_32	subject_33	
Svizzera	3.48	1.13	3.0	2.0	2.0	3.0	5.0	5.0	3.0	5.0	5.0	4.0	5.0	3.0	4.0	5.0	2.0	3.0	3.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	3.0	3.0	2.0	1.0	2.0	2.0	
Santorini	3.09	1.36	1.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	1.0	4.0	3.0	1.0	5.0	1.0	2.0	4.0	3.0	1.0	3.0	2.0	4.0	4.0	3.0	5.0	4.0	5.0	5.0	3.0	2.0	2.0	4.0	3.0	3.0	
Pechino	3.06	1.04	1.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	2.0	4.0	3.0	3.0	4.0	2.0	2.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	3.0	3.0	3.0	5.0	2.0	2.0	2.0	2.0	3.0	4.0	
Galapagos	2.85	1.18	3.0	2.0	1.0	2.0	5.0	5.0	2.0	5.0	2.0	3.0	5.0	1.0	3.0	2.0	2.0	4.0	3.0	2.0	3.0	3.0	3.0	4.0	2.0	2.0	3.0	2.0	5.0	3.0	2.0	1.0	2.0	3.0	4.0	
Cervino	2.76	1.37	5.0	2.0	1.0	4.0	5.0	5.0	3.0	1.0	3.0	5.0	2.0	1.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	4.0	4.0	1.0	2.0	2.0	2.0	5.0	3.0	1.0	1.0	1.0	5.0	2.0	
Sydney	3.21	1.2	1.0	2.0	2.0	3.0	5.0	5.0	3.0	5.0	2.0	5.0	2.0	3.0	3.0	2.0	2.0	4.0	3.0	4.0	3.0	5.0	4.0	4.0	5.0	2.0	3.0	2.0	5.0	3.0	3.0	1.0	3.0	4.0	3.0	
Mar Nero	3.06	1.04	3.0	2.0	2.0	3.0	5.0	5.0	3.0	4.0	2.0	5.0	3.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	2.0	3.0	2.0	5.0	2.0	2.0	2.0	3.0	3.0	5.0	
Monte Rushmore	2.55	1.18	2.0	2.0	1.0	1.0	4.0	4.0	3.0	2.0	3.0	5.0	3.0	1.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	5.0	4.0	4.0	2.0	1.0	1.0	1.0	4.0	3.0	2.0	3.0	1.0	1.0	3.0	
Istanbul	3.45	1.02	2.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	3.0	5.0	3.0	2.0	2.0	3.0	3.0	4.0	3.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	3.0	3.0	3.0	2.0	4.0	5.0	
Grand Canyon	3.21	1.25	2.0	2.0	1.0	2.0	5.0	5.0	3.0	4.0	2.0	5.0	4.0	3.0	3.0	2.0	2.0	5.0	3.0	4.0	3.0	3.0	3.0	4.0	4.0	2.0	5.0	2.0	5.0	5.0	2.0	1.0	2.0	4.0	4.0	
Atene	3.67	1.09	4.0	2.0	2.0	3.0	5.0	5.0	3.0	5.0	2.0	5.0	3.0	2.0	4.0	2.0	2.0	5.0	3.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	3.0	2.0	3.0	5.0	4.0	
Sud Corea	2.91	1.19	2.0	2.0	1.0	2.0	5.0	5.0	3.0	5.0	2.0	4.0	4.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0	4.0	3.0	4.0	1.0	2.0	2.0	2.0	5.0	4.0	2.0	1.0	3.0	4.0	4.0	
Monte Fuji	2.94	1.1	2.0	2.0	2.0	2.0	5.0	5.0	3.0	4.0	2.0	4.0	3.0	2.0	2.0	2.0	2.0	4.0	3.0	3.0	2.0	4.0	4.0	4.0	1.0	2.0	2.0	2.0	5.0	4.0	2.0	3.0	2.0	4.0	4.0	
Monte Saint-Michel	3.0	1.33	3.0	1.0	1.0	5.0	5.0	5.0	3.0	1.0	3.0	5.0	4.0	3.0	1.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	1.0	4.0	4.0	4.0	5.0	4.0	2.0	1.0	1.0	2.0	3.0	
Amazzonia	3.24	0.95	3.0	2.0	2.0	2.0	5.0	5.0	3.0	4.0	3.0	5.0	4.0	3.0	2.0	3.0	2.0	3.0	4.0	2.0	3.0	4.0	4.0	4.0	2.0	3.0	3.0	3.0	5.0	4.0	2.0	3.0	3.0	3.0	4.0	
Maldive	2.82	1.11	2.0	2.0	2.0	2.0	5.0	5.0	2.0	4.0	2.0	4.0	2.0	1.0	3.0	2.0	2.0	4.0	3.0	3.0	2.0	3.0	4.0	4.0	2.0	2.0	3.0	2.0	5.0	4.0	2.0	2.0	1.0	3.0	4.0	
Antartide	3.24	1.26	3.0	2.0	2.0	2.0	5.0	5.0	3.0	5.0	1.0	5.0	5.0	4.0	4.0	1.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	4.0	2.0	2.0	5.0	2.0	5.0	4.0	2.0	2.0	2.0	4.0	2.0	
Giappone	3.76	1.05	3.0	2.0	2.0	2.0	5.0	5.0	2.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	3.0	4.0	3.0	5.0	4.0	4.0	4.0	4.0	3.0	2.0	4.0	2.0	5.0	5.0	3.0	4.0	4.0	4.0	5.0	
Mosca	3.33	1.03	1.0	2.0	2.0	3.0	5.0	5.0	2.0	5.0	4.0	5.0	4.0	4.0	3.0	4.0	3.0	3.0	3.0	3.0	3.0	4.0	4.0	4.0	3.0	2.0	3.0	2.0	5.0	3.0	3.0	4.0	2.0	3.0	4.0	
Canale della Manica	3.15	1.13	4.0	2.0	2.0	2.0	5.0	5.0	3.0	2.0	2.0	5.0	5.0	2.0	2.0	2.0	2.0	3.0	3.0	4.0	3.0	5.0	4.0	4.0	2.0	3.0	3.0	3.0	5.0	3.0	2.0	2.0	2.0	4.0	4.0	
