name_length	value	response_time	accuracy	semantic_domain	familiarity	subject	
16	27	0.8689459999986866	1	-1	1	1	
10	11	1.49294799999916	1	1	-1	1	
16	17	1.0158107000024756	1	1	-1	1	
15	19	0.6902666999994835	1	1	1	1	
12	4	2.7452850000008766	1	-1	-1	1	
14	6	1.340902100000676	1	-1	-1	1	
20	22	0.7766134000012244	1	1	1	1	
13	3	1.0203630999967572	1	-1	-1	1	
19	14	0.9495659000021988	1	1	-1	1	
13	29	1.2507287000007636	1	-1	1	1	
8	12	1.2345668999987538	1	1	-1	1	
15	25	1.4276355000001786	1	-1	1	1	
10	20	0.7488075999972352	1	1	1	1	
15	2	0.9772437999999966	1	-1	-1	1	
7	9	2.4442694000026677	1	1	-1	1	
10	11	1.0849433000003046	1	1	-1	1	
15	16	0.8354354000002786	1	1	-1	1	
6	21	0.7238426999974763	1	1	1	1	
13	18	0.9201112000009743	1	1	1	1	
4	24	1.5578677000012249	1	1	1	1	
13	10	0.7289110999990953	1	1	1	1	
17	31	0.9099442000006093	1	-1	1	1	
12	28	0.955872200000158	1	-1	1	1	
16	27	1.2083553000011307	1	-1	1	1	
15	23	1.2101919999986421	1	1	1	1	
14	13	1.4366375999998127	1	1	-1	1	
12	1	1.172957700000552	1	-1	-1	1	
15	15	0.6655888000022969	1	1	-1	1	
18	7	0.7860905999987153	1	-1	-1	1	
14	8	0.6765693999986979	1	-1	-1	1	
15	5	5.482976900002541	1	-1	-1	1	
17	30	0.7865832999996201	1	-1	1	1	
18	26	0.9329977999987022	1	-1	1	1	
16	17	0.8231769000012719	1	1	-1	1	
20	22	3.896364000000176	1	1	1	1	
15	25	0.8152915999999095	1	-1	1	1	
19	14	0.6731327000015881	1	1	-1	1	
17	30	0.8716368999994302	1	-1	1	1	
10	20	1.0648672999996052	1	1	1	1	
13	18	1.1745365999995556	1	1	1	1	
10	11	1.7532294999982696	1	1	-1	1	
18	7	0.6765892000003078	1	-1	-1	1	
15	19	0.6914255000010598	1	1	1	1	
17	31	0.9866344000001845	1	-1	1	1	
13	29	0.8056003999990935	0	-1	1	1	
12	28	0.6637072999983502	1	-1	1	1	
15	15	0.8633982999999716	1	1	-1	1	
8	12	0.8633904999987863	1	1	-1	1	
16	27	0.6710793999991438	1	-1	1	1	
7	9	1.238208200000372	1	1	-1	1	
14	8	1.5761179000000993	1	-1	-1	1	
18	26	0.8911737999987963	1	-1	1	1	
13	10	0.906402500000695	1	1	1	1	
15	23	4.908385999999155	1	1	1	1	
14	6	1.1614909999989322	1	-1	-1	1	
6	21	1.0530092000008153	1	1	1	1	
15	16	0.9017874999990454	1	1	-1	1	
4	24	0.948077100001683	1	1	1	1	
14	13	1.2508897000006982	1	1	-1	1	
12	1	1.2028618000003917	1	-1	-1	1	
15	5	1.3334506999999576	1	-1	-1	1	
6	21	2.7065665000009176	1	1	1	1	
8	12	0.7916557999997167	1	1	-1	1	
13	18	0.8413705999992089	1	1	1	1	
15	23	0.7297561999985192	1	1	1	1	
16	17	0.9115555999997014	1	1	-1	1	
15	25	0.7174611000009463	1	-1	1	1	
15	16	0.7057956999997259	1	1	-1	1	
14	13	0.7443905000000086	1	1	-1	1	
18	26	0.6849433999996108	1	-1	1	1	
14	6	1.0912949999983539	1	-1	-1	1	
10	11	0.6172060999997484	1	1	-1	1	
4	24	0.9461381000000983	1	1	1	1	
10	20	2.5433039000017743	1	1	1	1	
13	10	0.7652439999983471	1	1	1	1	
15	5	0.785082099999272	1	-1	-1	1	
15	19	1.0755783999993582	1	1	1	1	
12	4	0.9226036000000022	1	-1	-1	1	
14	8	0.775708900000609	1	-1	-1	1	
11	0	0.8428745999990497	1	-1	1	1	
17	30	0.8593982999991567	1	-1	1	1	
17	31	0.9865145999974629	1	-1	1	1	
15	2	1.9414716999999655	1	-1	-1	1	
20	22	0.93856550000055	1	1	1	1	
13	3	1.6229746999997587	1	-1	-1	1	
12	1	1.4160518999997294	1	-1	-1	1	
19	14	0.801879500002542	1	1	-1	1	
12	28	0.8206795999976748	1	-1	1	1	
18	7	0.7097780000003695	1	-1	-1	1	
16	27	1.5323572999986936	1	-1	1	1	
7	9	1.9204458999993221	1	1	-1	1	
15	15	0.7415251000020362	1	1	-1	1	
13	29	0.6661967999971239	1	-1	1	1	
19	14	0.7031696000012744	1	1	-1	1	
15	5	0.6442784999999276	1	-1	-1	1	
14	8	0.9247517000003427	1	-1	-1	1	
13	18	0.6489150999987032	1	1	1	1	
13	10	0.9295158999993873	1	1	1	1	
17	30	0.6712530000004335	1	-1	1	1	
14	13	0.9351174999974319	1	1	-1	1	
17	31	0.659514399998443	1	-1	1	1	
8	12	2.5560569999979634	1	1	-1	1	
15	25	0.8238786999972945	1	-1	1	1	
15	19	0.9208201000001281	1	1	1	1	
10	11	0.6965499999969325	1	1	-1	1	
12	1	1.1830706000000646	1	-1	-1	1	
15	2	1.1710132000007434	1	-1	-1	1	
18	7	2.1987901000029524	1	-1	-1	1	
4	24	0.7219378999980108	1	1	1	1	
7	9	0.7100791999982903	1	1	-1	1	
16	17	0.7805393999988155	1	1	-1	1	
12	28	0.8964213999970525	1	-1	1	1	
20	22	0.8311051999990013	1	1	1	1	
15	16	0.7999898999987636	1	1	-1	1	
13	3	1.041411700000026	0	-1	-1	1	
15	23	1.0496790000033798	1	1	1	1	
13	29	0.7868356999970274	1	-1	1	1	
18	26	0.9973909999971511	1	-1	1	1	
12	4	0.655065700000705	1	-1	-1	1	
16	27	0.7750788999983342	1	-1	1	1	
14	6	0.9229311000017333	1	-1	-1	1	
6	21	1.287308999999368	1	1	1	1	
15	15	0.6616616999999678	1	1	-1	1	
10	20	1.1497224000013375	1	1	1	1	
12	28	0.7588572000022396	1	-1	1	1	
16	17	1.3714023000029556	1	1	-1	1	
